,date,cost
0,2016-03-01,-3.5999999999999996
1,2016-03-02,-5.949999999999997
2,2016-03-03,-7.1499999999999995
3,2016-03-04,0.30000000000000404
4,2016-03-05,8.850000000000001
5,2016-03-06,7.500000000000001
6,2016-03-07,-0.9999999999999971
7,2016-03-08,2.0000000000000018
8,2016-03-09,16.900000000000006
9,2016-03-10,26.400000000000002
10,2016-03-11,27.450000000000003
11,2016-03-12,12.6
12,2016-03-13,12.85
13,2016-03-14,28.250000000000004
14,2016-03-15,27.950000000000006
15,2016-03-16,28.95
16,2016-03-17,27.850000000000005
17,2016-03-18,28.150000000000002
18,2016-03-19,13.149999999999999
19,2016-03-20,14.899999999999999
20,2016-03-21,28.45
21,2016-03-22,27.250000000000004
22,2016-03-23,28.250000000000007
23,2016-03-24,29.150000000000002
24,2016-03-25,28.05
25,2016-03-26,14.05
26,2016-03-27,14.1
27,2016-03-28,28.650000000000002
28,2016-03-29,29.95
29,2016-03-30,29.050000000000004
30,2016-03-31,29.25
